technician_id,name,experience_years,shift_type
T169,Tech_T169,3,Day
T170,Tech_T170,10,Mixed
T171,Tech_T171,5,Evening
T172,Tech_T172,6,Day
T173,Tech_T173,9,Evening
T174,Tech_T174,4,Mixed
T175,Tech_T175,10,Evening
T176,Tech_T176,7,Evening
T177,Tech_T177,9,Day
T178,Tech_T178,7,Mixed
T179,Tech_T179,10,Evening
T180,Tech_T180,4,Day
T181,Tech_T181,8,Mixed
T182,Tech_T182,9,Evening
T183,Tech_T183,9,Evening
T184,Tech_T184,9,Evening
T185,Tech_T185,5,Evening
T186,Tech_T186,7,Mixed
T187,Tech_T187,6,Day
T188,Tech_T188,1,Mixed
T189,Tech_T189,10,Evening
T190,Tech_T190,10,Evening
T191,Tech_T191,1,Evening
T192,Tech_T192,10,Mixed
T193,Tech_T193,1,Evening
T194,Tech_T194,10,Mixed
T195,Tech_T195,5,Day
T196,Tech_T196,7,Day
T197,Tech_T197,5,Mixed
T198,Tech_T198,10,Evening
T199,Tech_T199,9,Day
T200,Tech_T200,4,Mixed
T201,Tech_T201,6,Evening
T202,Tech_T202,2,Day
T203,Tech_T203,1,Mixed
T204,Tech_T204,5,Evening
T205,Tech_T205,9,Evening
T206,Tech_T206,4,Mixed
T207,Tech_T207,3,Day
T208,Tech_T208,9,Evening
T209,Tech_T209,1,Evening
T210,Tech_T210,2,Evening
T211,Tech_T211,4,Evening
T212,Tech_T212,10,Day
T213,Tech_T213,1,Mixed
T214,Tech_T214,5,Day
T215,Tech_T215,5,Day
T216,Tech_T216,9,Mixed
T217,Tech_T217,8,Evening
T218,Tech_T218,7,Day
T219,Tech_T219,9,Evening
T220,Tech_T220,5,Mixed
T221,Tech_T221,2,Mixed
T222,Tech_T222,10,Evening
T223,Tech_T223,6,Evening
T224,Tech_T224,7,Day
T225,Tech_T225,9,Mixed
T226,Tech_T226,1,Evening
T227,Tech_T227,5,Mixed
T228,Tech_T228,5,Mixed
T229,Tech_T229,8,Day
T230,Tech_T230,5,Evening
T231,Tech_T231,7,Mixed
T232,Tech_T232,4,Evening
T233,Tech_T233,2,Mixed
T234,Tech_T234,1,Evening
T235,Tech_T235,1,Mixed
T236,Tech_T236,2,Day
T237,Tech_T237,1,Day
T238,Tech_T238,2,Day
T239,Tech_T239,8,Evening
T240,Tech_T240,1,Day
T241,Tech_T241,3,Mixed
T242,Tech_T242,2,Day
T243,Tech_T243,2,Mixed
T244,Tech_T244,5,Day
T245,Tech_T245,9,Evening
T246,Tech_T246,10,Mixed
T247,Tech_T247,6,Day
T248,Tech_T248,10,Mixed
T249,Tech_T249,10,Evening
T250,Tech_T250,6,Day
T251,Tech_T251,3,Day
T252,Tech_T252,4,Day
T253,Tech_T253,3,Day
T254,Tech_T254,7,Evening
T255,Tech_T255,3,Mixed
T256,Tech_T256,2,Evening
T257,Tech_T257,7,Evening
T258,Tech_T258,3,Mixed
T259,Tech_T259,9,Mixed
T260,Tech_T260,7,Evening
T261,Tech_T261,9,Mixed
T262,Tech_T262,4,Mixed
T263,Tech_T263,2,Evening
T264,Tech_T264,6,Evening
T265,Tech_T265,10,Evening
T266,Tech_T266,9,Evening
T267,Tech_T267,7,Day
T268,Tech_T268,5,Mixed
T269,Tech_T269,1,Evening
T270,Tech_T270,3,Mixed
T271,Tech_T271,2,Day
T272,Tech_T272,5,Evening
T273,Tech_T273,1,Evening
T274,Tech_T274,3,Day
T275,Tech_T275,9,Evening
T276,Tech_T276,2,Day
T277,Tech_T277,6,Day
T278,Tech_T278,3,Mixed
T279,Tech_T279,3,Evening
T280,Tech_T280,9,Day
T281,Tech_T281,2,Mixed
T282,Tech_T282,1,Day
T283,Tech_T283,6,Evening
T284,Tech_T284,10,Evening
T285,Tech_T285,8,Mixed
T286,Tech_T286,10,Evening
T287,Tech_T287,10,Day
T288,Tech_T288,4,Evening
T289,Tech_T289,6,Evening
T290,Tech_T290,4,Mixed
T291,Tech_T291,4,Evening
T292,Tech_T292,9,Mixed
T293,Tech_T293,8,Evening
T294,Tech_T294,7,Day
T295,Tech_T295,10,Evening
T296,Tech_T296,1,Mixed
T297,Tech_T297,2,Evening
T298,Tech_T298,8,Mixed
T299,Tech_T299,3,Evening
T300,Tech_T300,10,Evening
T301,Tech_T301,7,Day
T302,Tech_T302,1,Evening
T303,Tech_T303,2,Evening
T304,Tech_T304,3,Mixed
T305,Tech_T305,3,Evening
T306,Tech_T306,6,Day
T307,Tech_T307,10,Evening
T308,Tech_T308,5,Day
T309,Tech_T309,4,Day
T310,Tech_T310,2,Mixed
T311,Tech_T311,1,Mixed
T312,Tech_T312,1,Mixed
T313,Tech_T313,5,Evening
T314,Tech_T314,2,Mixed
T315,Tech_T315,2,Mixed
T316,Tech_T316,3,Mixed
T317,Tech_T317,5,Mixed
T318,Tech_T318,6,Mixed
T319,Tech_T319,10,Evening
T320,Tech_T320,3,Mixed
T321,Tech_T321,3,Mixed
T322,Tech_T322,1,Evening
T323,Tech_T323,8,Evening
T324,Tech_T324,1,Mixed
T325,Tech_T325,4,Mixed
T326,Tech_T326,8,Evening
T327,Tech_T327,10,Day
T328,Tech_T328,10,Day
T329,Tech_T329,8,Evening
T330,Tech_T330,7,Evening
T331,Tech_T331,2,Evening
T332,Tech_T332,1,Mixed
T333,Tech_T333,4,Day
T334,Tech_T334,9,Evening
T335,Tech_T335,5,Mixed
T336,Tech_T336,8,Day
T337,Tech_T337,2,Day
T338,Tech_T338,5,Evening
T339,Tech_T339,2,Evening
T340,Tech_T340,6,Mixed
T341,Tech_T341,10,Day
T342,Tech_T342,10,Mixed
T343,Tech_T343,9,Mixed
T344,Tech_T344,7,Mixed
T345,Tech_T345,6,Evening
T346,Tech_T346,3,Mixed
T347,Tech_T347,8,Mixed
T348,Tech_T348,7,Evening
T349,Tech_T349,4,Mixed
T350,Tech_T350,8,Evening
T351,Tech_T351,3,Mixed
T352,Tech_T352,8,Evening
T353,Tech_T353,6,Evening
T354,Tech_T354,4,Day
T355,Tech_T355,7,Day
T356,Tech_T356,10,Evening
T357,Tech_T357,8,Day
T358,Tech_T358,4,Day
T359,Tech_T359,10,Evening
T360,Tech_T360,9,Evening
T361,Tech_T361,6,Mixed
T362,Tech_T362,3,Mixed
T363,Tech_T363,4,Day
T364,Tech_T364,9,Evening
T365,Tech_T365,9,Day
T366,Tech_T366,4,Evening
T367,Tech_T367,4,Day
T368,Tech_T368,6,Evening
T369,Tech_T369,5,Day
T370,Tech_T370,1,Mixed
T371,Tech_T371,8,Evening
T372,Tech_T372,7,Day
T373,Tech_T373,5,Day
T374,Tech_T374,6,Evening
T375,Tech_T375,3,Day
T376,Tech_T376,8,Day
T377,Tech_T377,10,Day
T378,Tech_T378,5,Evening
T379,Tech_T379,7,Day
T380,Tech_T380,4,Evening
T381,Tech_T381,9,Day
T382,Tech_T382,3,Day
T383,Tech_T383,10,Mixed
T384,Tech_T384,7,Mixed
T385,Tech_T385,2,Day
T386,Tech_T386,9,Mixed
T387,Tech_T387,6,Day
T388,Tech_T388,4,Evening
T389,Tech_T389,6,Day
T390,Tech_T390,2,Evening
T391,Tech_T391,2,Day
T392,Tech_T392,8,Evening
T393,Tech_T393,8,Day
T394,Tech_T394,5,Evening
T395,Tech_T395,9,Evening
T396,Tech_T396,7,Mixed
T397,Tech_T397,3,Mixed
T398,Tech_T398,7,Mixed
T399,Tech_T399,8,Evening
T400,Tech_T400,10,Day
T401,Tech_T401,5,Evening
T402,Tech_T402,1,Day
T403,Tech_T403,7,Evening
T404,Tech_T404,6,Evening
T405,Tech_T405,8,Day
T406,Tech_T406,4,Day
T407,Tech_T407,6,Evening
T408,Tech_T408,1,Evening
T409,Tech_T409,3,Day
T410,Tech_T410,4,Day
T411,Tech_T411,1,Evening
T412,Tech_T412,5,Evening
T413,Tech_T413,4,Evening
T414,Tech_T414,2,Mixed
T415,Tech_T415,7,Day
T416,Tech_T416,3,Mixed
T417,Tech_T417,10,Day
T418,Tech_T418,3,Evening
T419,Tech_T419,1,Mixed
T420,Tech_T420,7,Day
T421,Tech_T421,6,Day
T422,Tech_T422,4,Day
T423,Tech_T423,5,Mixed
T424,Tech_T424,7,Evening
T425,Tech_T425,3,Mixed
T426,Tech_T426,2,Evening
T427,Tech_T427,8,Mixed
T428,Tech_T428,4,Mixed
T429,Tech_T429,6,Evening
T430,Tech_T430,10,Day
T431,Tech_T431,7,Mixed
T432,Tech_T432,6,Evening
T433,Tech_T433,1,Mixed
T434,Tech_T434,6,Mixed
T435,Tech_T435,8,Evening
T436,Tech_T436,3,Day
T437,Tech_T437,2,Day
T438,Tech_T438,3,Day
T439,Tech_T439,1,Evening
T440,Tech_T440,2,Evening
T441,Tech_T441,2,Mixed
T442,Tech_T442,8,Evening
T443,Tech_T443,10,Mixed
T444,Tech_T444,4,Evening
T445,Tech_T445,9,Evening
T446,Tech_T446,7,Mixed
T447,Tech_T447,8,Day
T448,Tech_T448,3,Day
T449,Tech_T449,6,Evening
T450,Tech_T450,6,Mixed
T451,Tech_T451,8,Day
T452,Tech_T452,1,Mixed
T453,Tech_T453,2,Mixed
T454,Tech_T454,5,Evening
T455,Tech_T455,8,Mixed
T456,Tech_T456,8,Day
T457,Tech_T457,7,Day
T458,Tech_T458,5,Mixed
T459,Tech_T459,1,Mixed
T460,Tech_T460,10,Evening
T461,Tech_T461,9,Mixed
T462,Tech_T462,9,Day
T463,Tech_T463,7,Evening
T464,Tech_T464,10,Day
T465,Tech_T465,4,Mixed
T466,Tech_T466,8,Mixed
T467,Tech_T467,4,Evening
T468,Tech_T468,3,Evening
T469,Tech_T469,7,Mixed
T470,Tech_T470,1,Day
T471,Tech_T471,6,Evening
T472,Tech_T472,10,Mixed
T473,Tech_T473,10,Mixed
T474,Tech_T474,1,Mixed
T475,Tech_T475,7,Mixed
T476,Tech_T476,5,Day
T477,Tech_T477,6,Mixed
T478,Tech_T478,10,Day
T479,Tech_T479,6,Evening
T480,Tech_T480,9,Mixed
T481,Tech_T481,8,Day
T482,Tech_T482,1,Mixed
T483,Tech_T483,6,Mixed
T484,Tech_T484,2,Mixed
T485,Tech_T485,8,Day
T486,Tech_T486,10,Mixed
T487,Tech_T487,8,Mixed
T488,Tech_T488,9,Mixed
T489,Tech_T489,8,Evening
T490,Tech_T490,9,Evening
T491,Tech_T491,9,Mixed
T492,Tech_T492,4,Mixed
T493,Tech_T493,1,Day
T494,Tech_T494,3,Day
T495,Tech_T495,8,Day
T496,Tech_T496,2,Mixed
T497,Tech_T497,1,Day
T498,Tech_T498,9,Evening
T499,Tech_T499,7,Mixed
T500,Tech_T500,7,Day
T501,Tech_T501,4,Day
T502,Tech_T502,7,Evening
T503,Tech_T503,4,Day
T504,Tech_T504,9,Day
T505,Tech_T505,4,Day
T506,Tech_T506,10,Mixed
T507,Tech_T507,9,Day
T508,Tech_T508,8,Day
T509,Tech_T509,7,Day
T510,Tech_T510,9,Evening
T511,Tech_T511,3,Mixed
T512,Tech_T512,1,Mixed
T513,Tech_T513,7,Evening
T514,Tech_T514,3,Day
T515,Tech_T515,7,Evening
T516,Tech_T516,10,Mixed
T517,Tech_T517,3,Mixed
T518,Tech_T518,6,Mixed
T519,Tech_T519,7,Mixed
T520,Tech_T520,4,Mixed
T521,Tech_T521,10,Day
T522,Tech_T522,1,Day
T523,Tech_T523,8,Evening
T524,Tech_T524,5,Evening
T525,Tech_T525,3,Mixed
T526,Tech_T526,5,Day
T527,Tech_T527,5,Mixed
T528,Tech_T528,6,Day
T529,Tech_T529,9,Mixed
T530,Tech_T530,1,Day
T531,Tech_T531,4,Day
T532,Tech_T532,3,Day
T533,Tech_T533,5,Day
T534,Tech_T534,2,Mixed
T535,Tech_T535,1,Evening
T536,Tech_T536,4,Mixed
T537,Tech_T537,4,Evening
T538,Tech_T538,10,Day
T539,Tech_T539,10,Day
T540,Tech_T540,5,Day
T541,Tech_T541,6,Day
T542,Tech_T542,4,Day
T543,Tech_T543,3,Evening
T544,Tech_T544,3,Mixed
T545,Tech_T545,1,Evening
T546,Tech_T546,7,Day
T547,Tech_T547,5,Evening
T548,Tech_T548,7,Day
T549,Tech_T549,9,Evening
T550,Tech_T550,9,Evening
T551,Tech_T551,8,Mixed
T552,Tech_T552,1,Mixed
T553,Tech_T553,5,Mixed
T554,Tech_T554,5,Evening
T555,Tech_T555,8,Mixed
T556,Tech_T556,2,Mixed
T557,Tech_T557,6,Mixed
T558,Tech_T558,2,Evening
T559,Tech_T559,4,Mixed
T560,Tech_T560,10,Day
T561,Tech_T561,7,Evening
T562,Tech_T562,6,Evening
T563,Tech_T563,8,Day
T564,Tech_T564,1,Day
T565,Tech_T565,8,Evening
T566,Tech_T566,5,Day
T567,Tech_T567,9,Mixed
T568,Tech_T568,8,Day
T569,Tech_T569,10,Day
T570,Tech_T570,4,Mixed
T571,Tech_T571,9,Evening
T572,Tech_T572,9,Day
T573,Tech_T573,4,Day
T574,Tech_T574,3,Evening
T575,Tech_T575,7,Day
T576,Tech_T576,4,Day
T577,Tech_T577,8,Day
T578,Tech_T578,8,Evening
T579,Tech_T579,5,Day
T580,Tech_T580,5,Day
T581,Tech_T581,8,Evening
T582,Tech_T582,6,Mixed
T583,Tech_T583,4,Mixed
T584,Tech_T584,3,Day
T585,Tech_T585,10,Day
T586,Tech_T586,7,Day
T587,Tech_T587,5,Day
T588,Tech_T588,8,Mixed
T589,Tech_T589,9,Mixed
T590,Tech_T590,10,Mixed
T591,Tech_T591,3,Day
T592,Tech_T592,10,Evening
T593,Tech_T593,8,Evening
T594,Tech_T594,3,Mixed
T595,Tech_T595,2,Evening
T596,Tech_T596,10,Evening
T597,Tech_T597,8,Day
T598,Tech_T598,10,Day
T599,Tech_T599,7,Day
T600,Tech_T600,7,Mixed
T601,Tech_T601,6,Day
T602,Tech_T602,1,Day
T603,Tech_T603,4,Day
T604,Tech_T604,1,Day
T605,Tech_T605,5,Evening
T606,Tech_T606,10,Mixed
T607,Tech_T607,10,Day
T608,Tech_T608,2,Evening
T609,Tech_T609,7,Mixed
T610,Tech_T610,8,Evening
T611,Tech_T611,3,Day
T612,Tech_T612,2,Evening
T613,Tech_T613,6,Day
T614,Tech_T614,3,Mixed
T615,Tech_T615,9,Day
T616,Tech_T616,7,Evening
T617,Tech_T617,9,Day
T618,Tech_T618,6,Evening
T619,Tech_T619,8,Mixed
T620,Tech_T620,9,Evening
T621,Tech_T621,5,Day
T622,Tech_T622,7,Evening
T623,Tech_T623,9,Day
T624,Tech_T624,2,Day
T625,Tech_T625,8,Mixed
T626,Tech_T626,9,Evening
T627,Tech_T627,8,Evening
T628,Tech_T628,4,Day
T629,Tech_T629,7,Evening
T630,Tech_T630,8,Day
T631,Tech_T631,2,Mixed
T632,Tech_T632,6,Day
T633,Tech_T633,1,Mixed
T634,Tech_T634,10,Evening
T635,Tech_T635,6,Mixed
T636,Tech_T636,5,Evening
T637,Tech_T637,10,Evening
T638,Tech_T638,9,Day
T639,Tech_T639,2,Day
T640,Tech_T640,3,Evening
T641,Tech_T641,3,Day
T642,Tech_T642,2,Evening
T643,Tech_T643,10,Day
T644,Tech_T644,8,Mixed
T645,Tech_T645,8,Day
T646,Tech_T646,2,Evening
T647,Tech_T647,6,Evening
T648,Tech_T648,7,Mixed
T649,Tech_T649,1,Day
T650,Tech_T650,7,Day
T651,Tech_T651,8,Mixed
T652,Tech_T652,6,Evening
T653,Tech_T653,10,Evening
T654,Tech_T654,1,Day
T655,Tech_T655,7,Mixed
T656,Tech_T656,7,Day
T657,Tech_T657,3,Mixed
T658,Tech_T658,1,Mixed
T659,Tech_T659,8,Mixed
T660,Tech_T660,10,Day
T661,Tech_T661,1,Day
T662,Tech_T662,1,Day
T663,Tech_T663,2,Evening
T664,Tech_T664,2,Mixed
T665,Tech_T665,4,Day
T666,Tech_T666,10,Evening
T667,Tech_T667,10,Mixed
T668,Tech_T668,5,Day
T669,Tech_T669,9,Mixed
T670,Tech_T670,3,Day
T671,Tech_T671,7,Day
T672,Tech_T672,7,Evening
T673,Tech_T673,2,Mixed
T674,Tech_T674,2,Evening
T675,Tech_T675,5,Mixed
T676,Tech_T676,8,Evening
T677,Tech_T677,4,Evening
T678,Tech_T678,4,Mixed
T679,Tech_T679,7,Day
T680,Tech_T680,10,Evening
T681,Tech_T681,5,Day
T682,Tech_T682,2,Day
T683,Tech_T683,2,Evening
T684,Tech_T684,3,Evening
T685,Tech_T685,6,Evening
T686,Tech_T686,2,Evening
T687,Tech_T687,10,Day
T688,Tech_T688,9,Mixed
T689,Tech_T689,3,Mixed
T690,Tech_T690,6,Evening
T691,Tech_T691,3,Mixed
T692,Tech_T692,8,Evening
T693,Tech_T693,1,Day
T694,Tech_T694,2,Day
T695,Tech_T695,5,Day
T696,Tech_T696,5,Evening
T697,Tech_T697,4,Day
T698,Tech_T698,7,Mixed
T699,Tech_T699,3,Evening
T700,Tech_T700,10,Day
T701,Tech_T701,7,Day
T702,Tech_T702,10,Evening
T703,Tech_T703,7,Day
T704,Tech_T704,2,Day
T705,Tech_T705,2,Evening
T706,Tech_T706,2,Mixed
T707,Tech_T707,3,Day
T708,Tech_T708,8,Mixed
T709,Tech_T709,9,Mixed
T710,Tech_T710,1,Day
T711,Tech_T711,7,Day
T712,Tech_T712,8,Mixed
T713,Tech_T713,1,Day
T714,Tech_T714,9,Mixed
T715,Tech_T715,3,Evening
T716,Tech_T716,9,Evening
T717,Tech_T717,2,Mixed
T718,Tech_T718,4,Evening
T719,Tech_T719,8,Evening
T720,Tech_T720,4,Day
T721,Tech_T721,2,Mixed
T722,Tech_T722,6,Evening
T723,Tech_T723,3,Evening
T724,Tech_T724,7,Mixed
T725,Tech_T725,3,Evening
T726,Tech_T726,7,Evening
T727,Tech_T727,7,Evening
T728,Tech_T728,7,Evening
T729,Tech_T729,7,Mixed
T730,Tech_T730,8,Mixed
T731,Tech_T731,8,Evening
T732,Tech_T732,1,Mixed
T733,Tech_T733,5,Day
T734,Tech_T734,9,Evening
T735,Tech_T735,1,Evening
T736,Tech_T736,6,Day
T737,Tech_T737,9,Day
T738,Tech_T738,10,Day
T739,Tech_T739,10,Evening
T740,Tech_T740,8,Mixed
T741,Tech_T741,8,Evening
T742,Tech_T742,7,Mixed
T743,Tech_T743,7,Evening
T744,Tech_T744,1,Mixed
T745,Tech_T745,10,Evening
T746,Tech_T746,9,Day
T747,Tech_T747,8,Mixed
T748,Tech_T748,3,Day
T749,Tech_T749,8,Day
T750,Tech_T750,6,Mixed
T751,Tech_T751,1,Mixed
T752,Tech_T752,4,Mixed
T753,Tech_T753,3,Mixed
T754,Tech_T754,5,Evening
T755,Tech_T755,7,Day
T756,Tech_T756,2,Evening
T757,Tech_T757,8,Day
T758,Tech_T758,8,Mixed
T759,Tech_T759,4,Mixed
T760,Tech_T760,8,Day
T761,Tech_T761,10,Evening
T762,Tech_T762,6,Day
T763,Tech_T763,2,Evening
T764,Tech_T764,1,Mixed
T765,Tech_T765,9,Evening
T766,Tech_T766,3,Mixed
T767,Tech_T767,5,Day
T768,Tech_T768,5,Day
T769,Tech_T769,9,Evening
T770,Tech_T770,4,Day
T771,Tech_T771,10,Evening
T772,Tech_T772,3,Day
T773,Tech_T773,3,Mixed
T774,Tech_T774,6,Evening
T775,Tech_T775,10,Day
T776,Tech_T776,4,Evening
T777,Tech_T777,7,Evening
T778,Tech_T778,9,Evening
T779,Tech_T779,3,Evening
T780,Tech_T780,6,Day
T781,Tech_T781,5,Evening
T782,Tech_T782,9,Evening
T783,Tech_T783,4,Day
T784,Tech_T784,3,Evening
T785,Tech_T785,7,Evening
T786,Tech_T786,4,Mixed
T787,Tech_T787,5,Mixed
T788,Tech_T788,8,Evening
T789,Tech_T789,7,Evening
T790,Tech_T790,8,Mixed
T791,Tech_T791,6,Evening
T792,Tech_T792,8,Evening
T793,Tech_T793,7,Evening
T794,Tech_T794,1,Day
T795,Tech_T795,6,Mixed
T796,Tech_T796,10,Mixed
T797,Tech_T797,6,Mixed
T798,Tech_T798,10,Evening
T799,Tech_T799,4,Evening
T800,Tech_T800,9,Evening
T801,Tech_T801,9,Evening
T802,Tech_T802,10,Mixed
T803,Tech_T803,4,Day
T804,Tech_T804,5,Mixed
T805,Tech_T805,9,Day
T806,Tech_T806,3,Mixed
T807,Tech_T807,3,Day
T808,Tech_T808,2,Day
T809,Tech_T809,7,Day
T810,Tech_T810,1,Evening
T811,Tech_T811,3,Mixed
T812,Tech_T812,7,Evening
T813,Tech_T813,2,Mixed
T814,Tech_T814,9,Evening
T815,Tech_T815,5,Evening
T816,Tech_T816,1,Mixed
T817,Tech_T817,10,Evening
T818,Tech_T818,9,Mixed
T819,Tech_T819,9,Day
T820,Tech_T820,7,Evening
T821,Tech_T821,2,Mixed
T822,Tech_T822,8,Day
T823,Tech_T823,7,Mixed
T824,Tech_T824,6,Mixed
T825,Tech_T825,7,Mixed
T826,Tech_T826,10,Evening
T827,Tech_T827,2,Day
T828,Tech_T828,2,Day
T829,Tech_T829,5,Evening
T830,Tech_T830,7,Mixed
T831,Tech_T831,10,Mixed
T832,Tech_T832,9,Evening
T833,Tech_T833,7,Mixed
T834,Tech_T834,6,Evening
T835,Tech_T835,4,Evening
T836,Tech_T836,3,Mixed
T837,Tech_T837,3,Day
T838,Tech_T838,10,Day
T839,Tech_T839,2,Day
T840,Tech_T840,3,Mixed
T841,Tech_T841,1,Mixed
T842,Tech_T842,1,Evening
T843,Tech_T843,1,Day
T844,Tech_T844,4,Day
T845,Tech_T845,3,Evening
T846,Tech_T846,2,Mixed
T847,Tech_T847,7,Day
T848,Tech_T848,2,Evening
T849,Tech_T849,2,Day
T850,Tech_T850,7,Evening
T851,Tech_T851,10,Mixed
T852,Tech_T852,4,Day
T853,Tech_T853,4,Mixed
T854,Tech_T854,8,Mixed
T855,Tech_T855,9,Mixed
T856,Tech_T856,3,Evening
T857,Tech_T857,9,Day
T858,Tech_T858,3,Evening
T859,Tech_T859,6,Day
T860,Tech_T860,5,Mixed
T861,Tech_T861,2,Mixed
T862,Tech_T862,6,Day
T863,Tech_T863,1,Day
T864,Tech_T864,5,Mixed
T865,Tech_T865,3,Evening
T866,Tech_T866,3,Evening
T867,Tech_T867,3,Evening
T868,Tech_T868,6,Mixed
T869,Tech_T869,9,Evening
T870,Tech_T870,3,Day
T871,Tech_T871,2,Evening
T872,Tech_T872,5,Mixed
T873,Tech_T873,5,Mixed
