drug_id,drug_name,drug_class,form,strength,stock_on_hand,reorder_level,lead_time_days,unit_cost,expiry_date
D074,STAT_D074,Antihypertensive,Capsule,10mg,308,80,22,105.31,2025-11-14
D075,STAT_D075,Antidiabetic,Capsule,10mg,45,43,14,83.65,2025-06-02
D076,STAT_D076,Antidepressant,Syrup,5mg,179,100,29,14.54,2024-10-25
D077,STAT_D077,Analgesic,Tablet,10mg,233,52,11,152.65,2026-02-06
D078,STAT_D078,Antihypertensive,Tablet,50mg,170,28,27,33.79,2025-10-18
D079,STAT_D079,Antidepressant,Syrup,5mg,277,94,13,118.41,2026-05-18
D080,STAT_D080,Antidepressant,Injection,50mg,339,67,14,53.19,2025-09-05
D081,STAT_D081,Antidepressant,Capsule,50mg,101,56,19,182.98,2026-07-07
D082,STAT_D082,Analgesic,Tablet,50mg,358,36,7,99.39,2026-01-05
D083,STAT_D083,Antidiabetic,Capsule,20mg,475,75,22,180.67,2025-01-25
D084,STAT_D084,Analgesic,Injection,20mg,469,93,16,72.17,2026-04-16
D085,STAT_D085,Analgesic,Injection,20mg,329,32,11,42.04,2025-05-31
D086,STAT_D086,Antidiabetic,Injection,100mg,446,54,6,44.22,2026-12-18
D087,STAT_D087,Antibiotic,Capsule,50mg,340,55,1,57.41,2025-11-21
D088,STAT_D088,Antidepressant,Injection,5mg,268,86,25,5.82,2026-06-01
D089,STAT_D089,Analgesic,Injection,5mg,428,26,21,187.07,2025-11-25
D090,STAT_D090,Antibiotic,Tablet,20mg,454,48,17,33.94,2026-06-07
D091,STAT_D091,Antidepressant,Syrup,50mg,438,30,15,79.89,2026-12-16
D092,STAT_D092,Antidiabetic,Syrup,5mg,84,24,12,47.15,2025-04-13
D093,STAT_D093,Antidepressant,Tablet,100mg,309,20,13,135.37,2024-09-23
D094,STAT_D094,Antidiabetic,Syrup,20mg,360,81,9,170.47,2025-03-15
D095,STAT_D095,Antibiotic,Tablet,5mg,96,48,28,109.35,2025-05-12
D096,STAT_D096,Antihypertensive,Tablet,50mg,107,63,5,199.55,2026-04-05
D097,STAT_D097,Antidepressant,Injection,100mg,96,24,5,36.96,2026-01-11
D098,STAT_D098,Antidepressant,Syrup,10mg,153,47,5,100.25,2026-07-29
D099,STAT_D099,Antidiabetic,Capsule,5mg,379,70,22,156.45,2024-02-17
D100,STAT_D100,Analgesic,Syrup,50mg,148,94,24,156.44,2025-12-16
D101,STAT_D101,Analgesic,Injection,20mg,230,64,22,16.5,2026-04-11
D102,STAT_D102,Antidepressant,Tablet,10mg,100,96,20,111.37,2024-10-28
D103,STAT_D103,Antihypertensive,Capsule,5mg,121,84,17,102.45,2025-11-18
D104,STAT_D104,Antibiotic,Capsule,20mg,64,76,24,125.34,2024-11-13
D105,STAT_D105,Antidepressant,Capsule,20mg,85,33,1,192.59,2026-12-29
D106,STAT_D106,Antibiotic,Syrup,5mg,26,32,6,116.81,2026-12-06
D107,STAT_D107,Antidepressant,Syrup,50mg,174,83,15,141.79,2026-08-13
D108,STAT_D108,Antibiotic,Injection,50mg,33,85,3,106.81,2024-12-21
D109,STAT_D109,Antihypertensive,Syrup,50mg,205,26,23,121.16,2026-06-17
D110,STAT_D110,Analgesic,Syrup,20mg,304,62,23,154.37,2025-09-21
D111,STAT_D111,Antihypertensive,Injection,20mg,181,82,5,66.98,2025-12-11
D112,STAT_D112,Antibiotic,Syrup,100mg,210,43,15,77.43,2025-11-25
D113,STAT_D113,Antidiabetic,Capsule,20mg,109,74,19,52.83,2025-06-18
D114,STAT_D114,Antidepressant,Tablet,10mg,3,32,27,121.24,2026-05-17
D115,STAT_D115,Analgesic,Syrup,10mg,498,82,10,179.43,2026-06-07
D116,STAT_D116,Antihypertensive,Tablet,5mg,414,83,14,34.19,2024-05-07
D117,STAT_D117,Analgesic,Syrup,10mg,385,42,9,147.57,2024-10-02
D118,STAT_D118,Antibiotic,Injection,5mg,339,22,4,139.63,2024-02-18
D119,STAT_D119,Antihypertensive,Capsule,20mg,45,96,30,130.48,2026-08-24
D120,STAT_D120,Antidiabetic,Syrup,5mg,161,73,24,101.41,2024-12-28
D121,STAT_D121,Antidepressant,Syrup,100mg,192,65,14,78.76,2026-10-10
D122,STAT_D122,Antidepressant,Syrup,50mg,165,60,3,103.07,2024-07-05
D123,STAT_D123,Antidiabetic,Injection,50mg,82,96,23,23.85,2026-10-11
D124,STAT_D124,Antidepressant,Injection,20mg,299,74,9,42.64,2025-12-06
D125,STAT_D125,Antibiotic,Tablet,50mg,455,89,29,85.68,2025-10-12
D126,STAT_D126,Antidiabetic,Tablet,20mg,269,50,28,149.15,2026-08-08
D127,STAT_D127,Antihypertensive,Capsule,20mg,288,55,8,130.68,2024-10-24
D128,STAT_D128,Analgesic,Syrup,20mg,440,59,21,12.2,2026-01-09
D129,STAT_D129,Analgesic,Tablet,20mg,372,51,28,77.54,2024-11-10
D130,STAT_D130,Antibiotic,Syrup,10mg,344,85,7,111.43,2025-11-28
D131,STAT_D131,Antihypertensive,Injection,20mg,67,92,6,85.23,2024-02-18
D132,STAT_D132,Antibiotic,Syrup,20mg,295,49,26,33.43,2025-09-18
D133,STAT_D133,Antidepressant,Tablet,10mg,356,29,10,153.91,2024-12-21
D134,STAT_D134,Analgesic,Injection,100mg,14,74,28,105.92,2025-08-26
D135,STAT_D135,Antibiotic,Injection,10mg,22,37,2,96.1,2026-10-15
D136,STAT_D136,Antibiotic,Injection,10mg,155,48,11,167.61,2024-01-03
D137,STAT_D137,Antidepressant,Capsule,50mg,326,84,4,25.52,2024-07-21
D138,STAT_D138,Antihypertensive,Capsule,5mg,5,29,12,103.59,2026-09-28
D139,STAT_D139,Antidepressant,Capsule,100mg,106,87,7,93.45,2024-03-14
D140,STAT_D140,Antidepressant,Injection,50mg,138,42,12,139.61,2026-07-20
D141,STAT_D141,Antidepressant,Capsule,100mg,415,44,29,81.52,2024-03-26
D142,STAT_D142,Analgesic,Syrup,100mg,487,71,22,126.31,2025-05-12
D143,STAT_D143,Antidepressant,Tablet,5mg,147,68,8,66.28,2026-01-04
D144,STAT_D144,Antihypertensive,Injection,100mg,473,51,4,187.51,2024-07-04
D145,STAT_D145,Analgesic,Injection,10mg,157,58,11,52.97,2024-06-30
D146,STAT_D146,Antidepressant,Syrup,5mg,262,26,20,189.36,2024-09-07
D147,STAT_D147,Analgesic,Tablet,10mg,138,86,18,188.73,2024-08-18
D148,STAT_D148,Analgesic,Injection,100mg,78,67,25,53.76,2024-06-05
D149,STAT_D149,Antidiabetic,Tablet,20mg,26,22,11,150.34,2025-04-14
D150,STAT_D150,Antidepressant,Tablet,10mg,334,49,2,71.33,2026-07-30
D151,STAT_D151,Analgesic,Capsule,20mg,196,89,12,91.16,2026-10-20
D152,STAT_D152,Analgesic,Capsule,50mg,334,58,27,166.15,2024-12-18
D153,STAT_D153,Antihypertensive,Capsule,100mg,110,52,4,122.97,2024-05-15
D154,STAT_D154,Antidepressant,Syrup,100mg,485,36,15,130.8,2026-03-29
D155,STAT_D155,Antihypertensive,Capsule,20mg,90,89,30,87.2,2026-09-26
D156,STAT_D156,Antidiabetic,Tablet,10mg,328,68,21,122.72,2025-10-21
D157,STAT_D157,Antibiotic,Capsule,10mg,343,93,7,123.12,2026-07-19
D158,STAT_D158,Antihypertensive,Capsule,10mg,352,67,27,12.01,2026-06-19
D159,STAT_D159,Antidiabetic,Syrup,10mg,267,37,24,197.13,2025-11-23
D160,STAT_D160,Antihypertensive,Injection,50mg,233,71,15,46.2,2026-03-02
D161,STAT_D161,Antibiotic,Tablet,20mg,226,42,30,91.9,2025-10-24
D162,STAT_D162,Analgesic,Tablet,10mg,161,56,17,177.46,2025-11-22
D163,STAT_D163,Antihypertensive,Tablet,20mg,43,56,18,71,2026-12-18
D164,STAT_D164,Antidiabetic,Capsule,5mg,450,78,4,147.13,2026-02-04
D165,STAT_D165,Antidepressant,Injection,5mg,154,33,29,49.6,2024-02-09
D166,STAT_D166,Antihypertensive,Injection,10mg,22,73,28,109.71,2025-04-01
D167,STAT_D167,Antidepressant,Capsule,100mg,334,97,24,98.12,2025-02-05
D168,STAT_D168,Antidepressant,Capsule,10mg,66,89,19,46.14,2024-08-25
D169,STAT_D169,Antidepressant,Injection,100mg,10,41,5,87.91,2025-07-03
D170,STAT_D170,Antihypertensive,Injection,20mg,99,84,24,32.67,2026-01-12
D171,STAT_D171,Antibiotic,Tablet,50mg,264,93,24,151.58,2025-11-03
D172,STAT_D172,Analgesic,Capsule,50mg,470,68,29,6.94,2025-05-20
D173,STAT_D173,Analgesic,Capsule,20mg,116,98,14,184.74,2026-01-25
D174,STAT_D174,Analgesic,Capsule,10mg,313,35,25,28.02,2025-04-03
D175,STAT_D175,Antidiabetic,Injection,50mg,152,94,2,12.61,2024-04-01
D176,STAT_D176,Antihypertensive,Tablet,100mg,326,37,1,68.44,2026-11-28
D177,STAT_D177,Antibiotic,Syrup,5mg,381,50,7,151.47,2026-11-07
D178,STAT_D178,Antihypertensive,Capsule,10mg,177,93,21,57.65,2026-01-10
D179,STAT_D179,Antidepressant,Syrup,5mg,0,58,7,44.58,2026-01-02
D180,STAT_D180,Analgesic,Syrup,5mg,3,43,28,19.58,2024-07-24
D181,STAT_D181,Antidiabetic,Tablet,50mg,342,86,14,43.35,2024-04-15
D182,STAT_D182,Antibiotic,Tablet,20mg,348,96,25,191.86,2025-06-23
D183,STAT_D183,Antihypertensive,Syrup,50mg,157,20,28,54.69,2026-02-06
D184,STAT_D184,Analgesic,Tablet,10mg,397,38,18,77.62,2026-10-01
D185,STAT_D185,Antidiabetic,Capsule,10mg,157,88,26,196.73,2026-03-07
D186,STAT_D186,Antihypertensive,Syrup,50mg,462,87,5,9.59,2026-07-10
D187,STAT_D187,Antidiabetic,Syrup,100mg,73,53,1,20.51,2026-11-27
D188,STAT_D188,Antidepressant,Injection,5mg,272,77,4,99.84,2025-11-20
D189,STAT_D189,Antibiotic,Tablet,5mg,329,95,17,48.37,2025-09-12
D190,STAT_D190,Analgesic,Syrup,20mg,479,23,23,92.34,2024-04-25
D191,STAT_D191,Antidiabetic,Injection,10mg,73,90,16,66.87,2024-05-31
D192,STAT_D192,Antibiotic,Capsule,100mg,138,28,22,187.85,2025-01-05
D193,STAT_D193,Antibiotic,Capsule,20mg,203,76,3,140.25,2024-04-17
D194,STAT_D194,Antidiabetic,Capsule,20mg,346,91,12,24.22,2024-12-26
D195,STAT_D195,Analgesic,Tablet,50mg,258,83,24,103.58,2026-04-25
D196,STAT_D196,Antidepressant,Syrup,10mg,318,55,20,104.42,2024-09-30
D197,STAT_D197,Antibiotic,Capsule,100mg,426,69,22,15.16,2026-03-01
D198,STAT_D198,Antibiotic,Syrup,10mg,295,49,1,168.88,2025-09-21
D199,STAT_D199,Antihypertensive,Syrup,20mg,352,99,25,26.86,2026-12-31
D200,STAT_D200,Antidiabetic,Tablet,100mg,160,67,30,159.85,2024-11-18
D201,STAT_D201,Analgesic,Injection,50mg,20,76,16,35.57,2025-10-25
D202,STAT_D202,Analgesic,Tablet,5mg,85,58,12,68.94,2024-02-11
D203,STAT_D203,Antidiabetic,Injection,20mg,228,90,22,127.47,2024-05-03
D204,STAT_D204,Antihypertensive,Capsule,10mg,68,54,14,197.4,2026-04-18
D205,STAT_D205,Antidiabetic,Tablet,100mg,495,93,4,186.67,2026-12-15
D206,STAT_D206,Antidepressant,Capsule,20mg,325,87,3,32.97,2025-12-22
D207,STAT_D207,Antidepressant,Capsule,100mg,443,92,21,165.48,2025-05-18
D208,STAT_D208,Antihypertensive,Capsule,5mg,179,29,26,176.02,2024-01-18
D209,STAT_D209,Antidiabetic,Syrup,5mg,20,54,12,88.31,2025-04-27
D210,STAT_D210,Antidiabetic,Injection,5mg,130,23,18,16.38,2024-05-05
D211,STAT_D211,Antidiabetic,Injection,50mg,173,59,21,84.15,2026-09-18
D212,STAT_D212,Antibiotic,Capsule,10mg,81,49,14,49.07,2024-02-24
D213,STAT_D213,Antidiabetic,Tablet,10mg,426,89,9,170.19,2026-09-30
D214,STAT_D214,Antihypertensive,Syrup,10mg,345,85,12,63.71,2026-06-30
D215,STAT_D215,Antibiotic,Syrup,20mg,239,22,12,19.47,2024-04-25
D216,STAT_D216,Antibiotic,Syrup,100mg,87,65,15,148.13,2024-02-03
D217,STAT_D217,Antihypertensive,Tablet,100mg,154,68,8,135.2,2026-10-18
D218,STAT_D218,Antihypertensive,Syrup,20mg,0,39,11,40.64,2024-08-24
D219,STAT_D219,Antidiabetic,Capsule,50mg,140,83,29,32.36,2025-02-09
D220,STAT_D220,Antidiabetic,Injection,20mg,277,52,25,75.91,2024-01-09
D221,STAT_D221,Analgesic,Injection,10mg,79,64,16,198.06,2024-02-08
D222,STAT_D222,Analgesic,Tablet,100mg,412,98,26,104.81,2025-03-11
D223,STAT_D223,Antihypertensive,Capsule,20mg,190,40,16,126.29,2025-06-13
D224,STAT_D224,Antidiabetic,Syrup,50mg,377,53,12,142.99,2026-10-29
D225,STAT_D225,Antidiabetic,Capsule,50mg,256,92,9,164.23,2025-11-29
D226,STAT_D226,Antihypertensive,Injection,100mg,395,38,3,32.78,2026-06-12
D227,STAT_D227,Antihypertensive,Syrup,20mg,376,81,27,16.34,2026-03-27
D228,STAT_D228,Analgesic,Injection,5mg,263,55,15,56.23,2025-03-28
D229,STAT_D229,Antidiabetic,Syrup,20mg,149,83,30,195.31,2025-11-21
D230,STAT_D230,Analgesic,Capsule,50mg,133,25,13,183.01,2024-12-06
D231,STAT_D231,Antidepressant,Capsule,20mg,4,66,18,65.91,2025-04-09
D232,STAT_D232,Antihypertensive,Syrup,100mg,70,76,12,155.83,2024-08-09
D233,STAT_D233,Antibiotic,Capsule,10mg,220,34,21,196.27,2026-03-10
D234,STAT_D234,Analgesic,Capsule,5mg,80,82,28,168.61,2026-05-02
D235,STAT_D235,Antibiotic,Capsule,5mg,151,91,16,135.81,2024-08-09
D236,STAT_D236,Antidiabetic,Injection,50mg,183,52,17,44.25,2025-11-20
D237,STAT_D237,Antidiabetic,Syrup,20mg,484,24,5,150.46,2026-03-14
D238,STAT_D238,Antidepressant,Syrup,5mg,44,51,21,85.25,2024-04-28
D239,STAT_D239,Analgesic,Tablet,5mg,183,80,13,68.1,2024-12-24
D240,STAT_D240,Antidiabetic,Injection,50mg,103,83,6,146.57,2025-06-06
D241,STAT_D241,Antidiabetic,Injection,100mg,266,52,12,29.95,2026-05-17
D242,STAT_D242,Analgesic,Capsule,5mg,241,55,13,51.51,2026-03-04
D243,STAT_D243,Analgesic,Syrup,20mg,201,38,10,182.5,2025-05-06
D244,STAT_D244,Antibiotic,Tablet,20mg,338,28,5,151.34,2025-04-10
D245,STAT_D245,Antihypertensive,Tablet,100mg,448,40,6,55.4,2026-03-04
D246,STAT_D246,Antihypertensive,Injection,10mg,193,85,28,61.16,2025-04-15
D247,STAT_D247,Analgesic,Injection,100mg,410,73,22,37.69,2026-04-04
D248,STAT_D248,Analgesic,Syrup,10mg,206,22,28,21.46,2026-11-22
D249,STAT_D249,Analgesic,Capsule,100mg,381,71,13,132.1,2024-10-02
D250,STAT_D250,Antihypertensive,Tablet,10mg,159,27,9,185.47,2024-12-05
D251,STAT_D251,Antihypertensive,Tablet,20mg,147,25,27,83.05,2025-11-18
D252,STAT_D252,Analgesic,Syrup,10mg,362,90,14,120.35,2025-04-23
D253,STAT_D253,Analgesic,Tablet,100mg,11,23,19,114.76,2025-03-14
D254,STAT_D254,Antidepressant,Syrup,100mg,50,70,4,195.78,2025-09-13
D255,STAT_D255,Antidepressant,Syrup,20mg,279,93,9,22.68,2025-05-20
D256,STAT_D256,Antihypertensive,Capsule,20mg,497,45,21,183.52,2024-11-15
D257,STAT_D257,Antihypertensive,Tablet,50mg,73,55,5,59.64,2026-03-25
D258,STAT_D258,Antibiotic,Injection,50mg,3,27,22,50.34,2024-09-23
D259,STAT_D259,Antidiabetic,Injection,100mg,216,41,4,88.05,2025-12-30
D260,STAT_D260,Antihypertensive,Capsule,50mg,258,40,19,67.76,2024-11-18
D261,STAT_D261,Antidepressant,Capsule,100mg,333,92,10,83.88,2025-06-10
D262,STAT_D262,Antibiotic,Injection,100mg,451,87,18,51.67,2026-02-25
D263,STAT_D263,Antibiotic,Syrup,100mg,237,60,28,164.71,2026-09-03
D264,STAT_D264,Analgesic,Tablet,20mg,406,80,28,66.38,2025-07-31
D265,STAT_D265,Antibiotic,Capsule,10mg,99,88,7,52.46,2024-01-11
D266,STAT_D266,Antidiabetic,Tablet,10mg,450,37,24,156,2025-04-15
D267,STAT_D267,Antidepressant,Capsule,10mg,368,78,1,14.61,2024-12-13
D268,STAT_D268,Antidiabetic,Capsule,10mg,292,73,9,137.4,2026-11-01
D269,STAT_D269,Antidiabetic,Capsule,50mg,498,97,5,67.4,2026-04-13
D270,STAT_D270,Analgesic,Syrup,10mg,241,31,15,103.25,2025-01-14
D271,STAT_D271,Analgesic,Syrup,50mg,226,41,1,32.25,2025-03-07
D272,STAT_D272,Analgesic,Syrup,20mg,384,22,19,180.87,2026-07-22
D273,STAT_D273,Antidiabetic,Tablet,100mg,127,95,30,100.15,2025-04-14
D274,STAT_D274,Antihypertensive,Tablet,5mg,36,89,13,184.94,2024-02-07
D275,STAT_D275,Antidiabetic,Injection,50mg,231,77,14,66.76,2024-01-24
D276,STAT_D276,Antidepressant,Injection,100mg,493,45,2,66.67,2024-09-12
D277,STAT_D277,Antidepressant,Syrup,10mg,153,45,5,34.22,2026-01-23
D278,STAT_D278,Antidepressant,Tablet,10mg,254,72,12,129.54,2025-04-01
D279,STAT_D279,Antidepressant,Tablet,100mg,40,66,10,100.31,2026-09-27
D280,STAT_D280,Antidepressant,Syrup,100mg,458,38,9,174.76,2026-09-22
D281,STAT_D281,Analgesic,Injection,50mg,95,90,5,12.3,2026-01-06
D282,STAT_D282,Antihypertensive,Capsule,5mg,156,46,6,58.51,2024-08-03
D283,STAT_D283,Antihypertensive,Tablet,10mg,211,27,2,179.59,2025-05-27
D284,STAT_D284,Antibiotic,Tablet,10mg,110,48,11,167.33,2024-11-08
D285,STAT_D285,Antidepressant,Injection,5mg,339,24,12,68.8,2024-06-20
D286,STAT_D286,Antibiotic,Injection,50mg,114,28,27,154.32,2024-01-05
D287,STAT_D287,Antidiabetic,Injection,50mg,237,37,7,175.36,2026-08-09
D288,STAT_D288,Antidepressant,Injection,10mg,433,20,18,125.26,2024-06-27
D289,STAT_D289,Analgesic,Syrup,100mg,8,87,21,75.5,2026-04-26
D290,STAT_D290,Antibiotic,Injection,10mg,107,97,27,36.93,2024-03-21
D291,STAT_D291,Antibiotic,Tablet,5mg,440,70,5,133.32,2024-04-04
D292,STAT_D292,Analgesic,Injection,5mg,423,56,22,100.36,2025-06-15
D293,STAT_D293,Analgesic,Injection,20mg,298,83,29,107.74,2025-11-28
D294,STAT_D294,Analgesic,Capsule,100mg,202,55,8,43.21,2024-04-16
D295,STAT_D295,Antibiotic,Tablet,100mg,85,33,12,159.68,2024-09-05
D296,STAT_D296,Antibiotic,Injection,100mg,257,46,21,91.82,2025-04-04
D297,STAT_D297,Antidepressant,Syrup,50mg,471,28,13,145.43,2026-08-17
D298,STAT_D298,Antihypertensive,Capsule,5mg,169,74,13,84.09,2026-11-17
D299,STAT_D299,Antibiotic,Injection,20mg,433,26,29,89.24,2026-12-03
D300,STAT_D300,Antidepressant,Injection,50mg,414,89,23,99.68,2025-08-11
D301,STAT_D301,Antibiotic,Syrup,5mg,300,59,9,52.94,2026-07-24
D302,STAT_D302,Antihypertensive,Tablet,100mg,398,64,13,79.32,2025-12-20
D303,STAT_D303,Antihypertensive,Syrup,50mg,19,87,21,51.26,2026-06-30
D304,STAT_D304,Antidepressant,Syrup,5mg,444,33,30,10.88,2025-05-07
D305,STAT_D305,Antihypertensive,Syrup,5mg,484,96,10,20.54,2025-07-02
D306,STAT_D306,Analgesic,Tablet,50mg,232,66,24,37.46,2025-01-01
D307,STAT_D307,Antidiabetic,Tablet,5mg,287,45,30,23.96,2024-09-08
D308,STAT_D308,Antihypertensive,Tablet,50mg,130,54,14,8.04,2026-01-15
D309,STAT_D309,Antibiotic,Injection,50mg,436,46,21,87.08,2025-12-06
D310,STAT_D310,Antibiotic,Capsule,10mg,103,32,25,196.31,2026-10-28
D311,STAT_D311,Analgesic,Injection,50mg,321,64,30,48.34,2024-03-31
D312,STAT_D312,Antidiabetic,Injection,20mg,428,98,8,187.72,2024-10-18
D313,STAT_D313,Analgesic,Tablet,100mg,486,22,27,118.9,2025-12-28
D314,STAT_D314,Analgesic,Capsule,5mg,157,97,25,67.22,2026-06-12
D315,STAT_D315,Antidiabetic,Injection,20mg,132,70,29,5.94,2026-03-16
D316,STAT_D316,Antidiabetic,Tablet,5mg,491,30,25,12.96,2025-03-03
D317,STAT_D317,Antihypertensive,Injection,20mg,18,86,7,89.58,2024-09-28
D318,STAT_D318,Antidepressant,Tablet,20mg,46,98,13,131.63,2024-04-01
D319,STAT_D319,Antibiotic,Syrup,100mg,413,85,23,17.67,2026-07-02
D320,STAT_D320,Analgesic,Capsule,100mg,202,51,13,91.61,2024-03-18
D321,STAT_D321,Antidiabetic,Capsule,20mg,307,87,26,56.57,2024-01-16
D322,STAT_D322,Antidepressant,Injection,100mg,451,44,10,70.13,2026-04-20
D323,STAT_D323,Antibiotic,Capsule,20mg,52,43,8,162.58,2024-05-27
